Date,Mesocosm,Stage,Hyrdidae,Nematode,Oligochaeta,Copepoda_naupli,Calanoida_Copepodite,Calanoida_CalamoeciaLucasi,Calanoida_BoeckellaTriarticulata,Cyclopoida_Copepodite,Cyclopoida_Australocyclops,Cyclopoida_Mesocyclops,Cyclopoida_Tropocyclops,Cladocera_Chydorus,Cladocera_Daphiidae,Cladocera_Ilyocryptidae,Ostracoda,Gastropoda,Collembolla_Sminthuridae,Hemiptera_Corixidae,Hemiptera_Notonectidae,Coleoptera,Diptera_Chironomidae,Arachinida_Acarina
5/10/20,T1,Establishment,,,,10,,,,,,,,,,,,,,,,,,
5/10/20,T2,Establishment,,,,10,1,,,2,,,,,,,,,,,,,,
5/10/20,T3,Establishment,,,,20,,,,2,,,,,,,,,1,1,,,,
5/10/20,T4,Establishment,,,,10,,,,,,,,,,,2,,,,,,,
5/10/20,T5,Establishment,,,,50,,,,3,,,,,,,1,,,,,,,
5/10/20,T6,Establishment,,,,10,,,,,,,,,,,1,,,,,,,
5/10/20,T7,Establishment,,,,10,,,,,,,,,,,,,,,,,,
5/10/20,T8,Establishment,,,,10,,,,2,,,,,,,,,,,,,,
5/10/20,T9,Establishment,,,,10,,,,1,,,,,,,,,,,,,,
5/10/20,T10,Establishment,,,,10,1,,,,,,,,,,,,,,,,,
5/10/20,T11,Establishment,,,,40,1,,,1,,,,,,,3,,,,,,,
5/10/20,T12,Establishment,,,,10,,,,1,,,,,,,,,,,,,,
15/10/20,T1,Establishment,,,,90,,,,,,,,,,,,,,,,,,
15/10/20,T2,Establishment,,,,130,4,,1,6,,1,,,,,3,,,,,,,
15/10/20,T3,Establishment,,,,220,3,,,10,,1,,,1,,,,,,,,,
15/10/20,T4,Establishment,,,,150,3,,,1,,3,,,,,1,,,,,1,,
15/10/20,T5,Establishment,,,,180,4,,1,16,1,,,,,,1,,,,,,,
15/10/20,T6,Establishment,,,,130,3,,,7,,,,,,,1,,,,,,1,
15/10/20,T7,Establishment,,,,110,2,,1,1,,,,,,,1,,,,,,,1
15/10/20,T8,Establishment,,,,110,2,,,2,,,,,,,2,,,,,,,
15/10/20,T9,Establishment,,,,70,2,,,4,,,,,,,10,,1,,,,,
15/10/20,T10,Establishment,,,,100,2,1,1,2,,,,,,,7,,,,1,,,
15/10/20,T11,Establishment,,,,210,8,4,5,5,,1,,,,,3,,,,,,,
15/10/20,T12,Establishment,,,,130,7,,1,8,,2,,,,,,,,,,,,
26/10/20,T1,Fish only,,,,70,,,,5,,,,,,,1,,,,,,,
26/10/20,T2,Fish only,,,,90,,,,3,,1,,,,,2,,,,,,,
26/10/20,T3,Fish only,,,,50,,3,,4,,1,,,,,1,,1,,,,,
26/10/20,T4,Fish only,,,,20,,2,1,4,,,,,,,,,,,,,,
26/10/20,T5,Fish only,,,,40,1,,,1,,,,,,,1,,1,,,,,
26/10/20,T6,Fish only,,,,110,,,,3,,,,,,,2,,,,,,,
26/10/20,T7,Fish only,,,,50,,,,,,,,,,,,,,,,,,
26/10/20,T8,Fish only,,,,20,,,,,,,,,,,,,,,,,,
26/10/20,T9,Fish only,,,,20,,,,,,,,,,,,,,,,,,
26/10/20,T10,Fish only,,,,50,,,,1,,,,,,,,,,,,,,
26/10/20,T11,Fish only,,,,90,,1,,1,,,,,,,,,,,,,,
26/10/20,T12,Fish only,,,,50,1,,,1,,,,,,,,,,,,,,
5/11/20,T1,Fish only,,,,130,1,1,,1,,,1,,,,1,,,,,,2,
5/11/20,T2,Fish only,,,,30,,,,2,,,,,,,1,,,,,,,
5/11/20,T3,Fish only,,,,80,,4,,1,,,,,,,,,,,,,,
5/11/20,T4,Fish only,,,,10,1,1,,,,,,,,,2,,,,,,3,
5/11/20,T5,Fish only,,,,50,3,2,1,1,,,,,,,,,,,,,,
5/11/20,T6,Fish only,,,,40,1,4,,1,,,,,,,,,,,,,,
5/11/20,T7,Fish only,,,1,50,1,,,2,,,,,,,,,,,,,,
5/11/20,T8,Fish only,,,,40,,,,,,,,,,,,,,,,,,
5/11/20,T9,Fish only,,,,110,,,,,,,,,,,,,,,,,1,
5/11/20,T10,Fish only,,,,60,,,,,,,,,,,1,,,,,,,
5/11/20,T11,Fish only,,,,70,,1,,,,,,,,,2,,,,,,,
5/11/20,T12,Fish only,,,,80,,1,,3,,,1,,,,,,,,,,3,
16/11/20,T1,Fish_Exposure,,,1,420,,,,9,,3,,,5,,,,,,,,,
16/11/20,T2,Fish_Exposure,,,,340,,,,6,,4,,1,5,,,,,,,,,
16/11/20,T3,Fish_Exposure,,,,90,,,,5,,2,,1,,,1,,,,,,,
16/11/20,T4,Fish_Exposure,,,,50,1,2,,6,,,,4,,,,,,,,,,
16/11/20,T5,Fish_Exposure,,,,230,1,,,9,,,,,,,2,,,,,,,
16/11/20,T6,Fish_Exposure,1,,,80,,,,23,,3,,2,,4,6,1,,,,,,
16/11/20,T7,Fish_Exposure,,,,40,,,,2,,,,,,,,,,,,,,
16/11/20,T8,Fish_Exposure,,,,60,,,,1,,,,,,,,,,,,,,
16/11/20,T9,Fish_Exposure,,,1,30,,,,1,,,,,,,,,,,,,,
16/11/20,T10,Fish_Exposure,,,,120,1,1,,1,,,,,,,,,,,,,,
16/11/20,T11,Fish_Exposure,,,,80,3,1,,1,,1,,,,,,,,,,,,
16/11/20,T12,Fish_Exposure,,,,260,,,,6,,,,,,,,,,,,,,
26/11/20,T1,Fish_Exposure,,,,140,,,,31,,1,,,,,,,,,,,,1
26/11/20,T2,Fish_Exposure,,,,120,,,,1,,,,,,,,,,,,,,
26/11/20,T3,Fish_Exposure,,,,80,,,,3,,,,5,,,1,,,,,,,
26/11/20,T4,Fish_Exposure,,,1,40,2,,,4,,,,17,1,,5,,,,,,,
26/11/20,T5,Fish_Exposure,,,,90,,,,1,,,,,,,1,,,,,,,
26/11/20,T6,Fish_Exposure,,,,190,,1,,5,,,,,,2,,,,,,,,
26/11/20,T7,Fish_Exposure,,,,20,,,,2,,,,7,,,,,,,,,,
26/11/20,T8,Fish_Exposure,,,,40,,2,,4,,,,,,,,,,,,,1,
26/11/20,T9,Fish_Exposure,,1,,10,,,,,,,,,,,,,,,,,,
26/11/20,T10,Fish_Exposure,,,,320,,,,4,,,,,,,1,,,,,,,1
26/11/20,T11,Fish_Exposure,,,,70,,1,,7,,,,,,,,,,,,,,
26/11/20,T12,Fish_Exposure,,,,90,,3,,8,,,,,,,,,1,,,,,
7/12/20,T1,Exposure only,,,,160,1,2,,28,,4,,,,,,,,,,,,
7/12/20,T2,Exposure only,,,,110,,,,,,,,,,,,,,,,,,
7/12/20,T3,Exposure only,,,,230,,,,8,,1,,4,,,16,1,,,,,,
7/12/20,T4,Exposure only,,,,20,,2,,3,,1,,2,1,,5,,,,,,,
7/12/20,T5,Exposure only,,,,160,,,,8,,,,,,,1,,,,,,,
7/12/20,T6,Exposure only,,,,410,1,1,,8,,,,8,,,1,1,,,,,,
7/12/20,T7,Exposure only,,,,30,,1,,2,,,,10,,,1,,,,,,,
7/12/20,T8,Exposure only,,,,190,,,,5,,,,1,,,1,,,,,,,
7/12/20,T9,Exposure only,,,,170,,2,,14,,7,,,,,,,,,,,,
7/12/20,T10,Exposure only,,,,360,3,1,,2,,,,,,,,1,,,,,,
7/12/20,T11,Exposure only,,,,270,6,2,,7,,1,,7,,,2,,,,,,1,
7/12/20,T12,Exposure only,,,,230,8,7,,17,,1,,11,,,2,,,,,,,
17/12/20,T1,Exposure only,,,,180,2,2,,13,,,,,,,1,,,,,,2,
17/12/20,T2,Exposure only,,,,170,,,,2,,,,1,,,,1,,,,,2,1
17/12/20,T3,Exposure only,,,,330,,,,2,,,,1,,,3,,,,,,2,
17/12/20,T4,Exposure only,,,,180,2,,,,,,,,,,,,,,,,2,1
17/12/20,T5,Exposure only,,,,140,,,,13,,1,,,,,4,,,,,,1,
17/12/20,T6,Exposure only,,,,360,,,,21,,2,,3,,2,6,1,,,,,,
17/12/20,T7,Exposure only,,,,130,,,,4,,1,,4,,,,,,,,,,
17/12/20,T8,Exposure only,,,,280,,,,3,,,,,,,4,,,,,,,
17/12/20,T9,Exposure only,,,,180,1,2,,10,,3,,,1,,,,,,,,,
17/12/20,T10,Exposure only,,,,300,,1,,7,,,,,,,,,,,,,,
17/12/20,T11,Exposure only,,,,200,2,3,,6,,3,,,,,,,,,,,,
17/12/20,T12,Exposure only,,,,50,1,4,,3,,1,,,1,,,,,,,,,
